,radius,movement
135,0.0688773587159323,[  0.89720917 -13.33716216]
136,0.1127433753485202,[  0.98793103 -12.6515213 ]
137,0.061354158082476434,[ -3.47273037 -10.02778014]
138,0.0418718384251315,[ 2.91634836 -8.54449962]
139,0.05811700441605883,[  5.29709431 -12.38568087]
140,0.03554394376350865,[-0.6047261  -7.42463301]
141,0.05276907128551534,[ -1.43962963 -11.0237037 ]
142,0.11478311939929704,[ -1.9450373  -14.04273178]
143,0.06239589904724462,[  4.23406589 -14.24334585]
144,0.06581459512288307,[  2.76461039 -12.66341991]
145,0.11667680665971433,[ -0.31151186 -11.88562253]
146,0.04455669153032238,[-1.73246753 -7.48571429]
147,0.056542943828827956,[  5.20003015 -10.82340971]
148,0.067363385733172,[ -2.98522727 -14.09128788]
149,0.04062165001543845,[-0.08892747 -7.64583333]
150,0.12302308790784229,[ -3.60253268 -10.68956192]
151,0.03965815360848396,[ 1.00598139 -8.60456358]
152,0.057447688377806304,[ -3.88483796 -11.96475694]
153,0.03833584151300923,[-0.35914787 -8.55839599]
154,0.0998902397744809,[  2.43583925 -13.45220243]
155,0.06321693302460576,[ -2.60254154 -14.69325513]
156,0.042178595921168426,[ 1.53232999 -7.42586399]
157,0.05631448655585085,[  2.47703252 -11.39186992]
158,0.10711433072887463,[  5.42128353 -13.81205799]
159,0.0415628169439877,[ 1.57421227 -7.37831675]
160,0.061772962658199274,[  4.80870481 -13.51509302]
161,0.04338394123411051,[ 1.28587736 -8.10893673]
162,0.1190827671390276,[ -3.5        -12.67454545]
163,0.049491358580910555,[  1.51933405 -11.26240602]
164,0.06639962525144012,[  4.23526766 -14.39513478]
165,0.04248313847471833,[ 0.08021978 -8.26263736]
166,0.05103031627248249,[  3.54733368 -11.39812402]
167,0.12344153499330865,[  1.30367239 -13.78432586]
168,0.06362347697665749,[  3.25592436 -14.75910907]
169,0.05276907128551534,[ -0.19444444 -13.16666667]
170,0.05052253929987899,[ -0.66666667 -10.64646465]
171,0.12479179809448925,[  1.24333998 -13.23517435]
172,0.06542166865517303,[  3.92046508 -13.15418317]
173,0.056085098691793525,[-4.9336556  -9.64852179]
174,0.03765727742347802,[ 0.24181818 -7.24      ]
175,0.11159407545729497,[  1.13144188 -14.70251603]
176,0.06301267745665633,[  4.87923821 -13.81792033]
177,0.10319118481007158,[ -2.77737963 -15.41237665]
178,0.055854768771227865,[ -1.11215134 -12.97501291]
179,0.04278551338295452,[-0.69825011 -9.21446863]
180,0.11534331364642562,[ -1.23671326 -13.57166785]
181,0.055854768771227865,[  2.51680908 -11.91924639]
182,0.043974226071262786,[-0.84784314 -9.57098039]
183,0.11455827467918457,[  0.23484991 -11.59230541]
184,0.06659349318298727,[  6.15185754 -12.84993418]
185,0.04975115752387231,[-3.28145627 -9.46493399]
186,0.1135409634909072,[  2.57426804 -13.78758763]
187,0.06812457809454432,[  5.41429582 -12.78941967]
188,0.04513164036117097,[ 0.28062317 -8.68977605]
189,0.10675266059987486,[  3.66123546 -13.72792487]
190,0.06402743961897149,[  5.4006253  -13.19602283]
191,0.11170953754245573,[  0.2919842  -15.15289622]
192,0.04870364741825408,[  0.88813406 -11.76856884]
193,0.06321693302460576,[  2.4175059  -14.13878836]
194,0.11066604208573352,[  0.70418897 -11.84344171]
195,0.04426641683429341,[ 0.97736842 -8.05947368]
196,0.067363385733172,[  1.76860639 -13.56287463]
197,0.05103031627248249,[ -2.48154053 -10.31867763]
198,0.11623400883211767,[  1.03852873 -14.80113744]
199,0.04093777657320507,[-0.04826133 -7.78566913]
200,0.06239589904724462,[  5.30250087 -13.7488672 ]
201,0.056085098691793525,[-0.74537282 -9.22990481]
202,0.10699390985805615,[  1.31721722 -14.13088088]
203,0.10129992157347922,[ -0.16590286 -12.89406077]
204,0.0709063089736941,[  3.37797735 -14.85828452]
205,0.04653794651243769,[ 1.68583043 -7.75667828]
206,0.04923018863871417,[ 1.79524406 -9.82377972]
207,0.10937714003543697,[  0.72678789 -14.6641071 ]
208,0.06260216704471842,[  4.96551572 -13.47726069]
209,0.03765727742347802,[ 0.5        -6.41212121]
210,0.10735476723954324,[  1.24791589 -13.45192323]
211,0.05397675785224819,[-3.47655216 -9.80231343]
212,0.06639962525144012,[  4.27011622 -13.67806647]
213,0.11159407545729497,[  4.42025476 -14.37330245]
214,0.05515800841350847,[ -4.96106276 -10.16918614]
215,0.10961261316059097,[  1.15501136 -15.55605547]
216,0.06402743961897149,[  4.44756289 -13.50133648]
217,0.10973016023260992,[ -0.80866059 -14.23582598]
218,0.055854768771227865,[ -2.62816226 -10.87250016]
219,0.06542166865517303,[  6.6098918  -12.85941217]
220,0.11667680665971433,[  3.50272727 -13.54712121]
221,0.05373739189297661,[  3.68299476 -10.86115662]
